Principles,Fairness,Transparency,Accountability,Safety,Security,Robustness,Explainability,Interpretability,Well-being,Human Oversight,Human Rights,Sustainability,Equity,Reliability,Privacy,Justice,Autonomy,Human Dignity,Responsibility,Solidarity,Beneficence,Non-maleficence,Non-discrimination,Contestability,Human-centric,Inclusiveness,Trustworthy,Democracy,Governance,Bias,Integrity,Controllability,Accuracy
China,12,4,0,0,12,0,0,0,4,0,4,0,0,4,12,8,0,0,23,0,0,0,0,0,0,23,0,0,23,0,0,27,0
Singapore,6,14,12,10,0,0,2,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4
UAE,4,4,4,4,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0
Israel,6,6,6,6,6,0,6,0,0,0,6,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,6,0,0
India,0,5,5,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,7,5,12,5,0,19,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,14,0,0,0,7,0,7,0,0,0,0
Japan,16,16,18,9,18,0,0,0,0,0,0,0,0,0,25,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,9,9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
